imgName,x,y,z,q1,q2,q3,q4
16-53-12,2029.589,84.148,947.277,0.80853,0.14309,0.57067,0.01187
16-53-16,2035.467,471.814,911.051,0.81101,-0.15886,0.5592,-0.06573
16-53-21,2058.05,312.898,931.344,0.80934,0.15111,0.53803,-0.18073
16-53-25,2017.788,192.761,1141.2,0.82265,-0.1166,0.54936,0.08857
16-53-31,2005.887,-60.974,1195.477,0.80067,0.17955,0.57141,0.01317
16-53-36,2162.756,-118.925,902.04,0.79153,0.10984,0.56608,0.2024
16-53-41,2091.07,78.067,1129.617,0.78978,-0.02584,0.60087,0.12052
16-53-47,2192.675,50.684,930.747,0.77583,-0.03795,0.61117,0.15203
16-53-5,2072.203,540.183,1044.776,0.81011,0.04125,0.53891,-0.22715
16-53-53,2095.892,-125.476,1129.971,0.77151,0.10235,0.61469,0.12828
16-54-0,2014.247,515.192,1190.256,0.81248,-0.13273,0.56482,-0.05698
16-54-10,2083.333,377.726,1143.116,0.79154,0.13137,0.57216,-0.16984
16-54-16,2179.068,-48.479,1040.103,0.78353,-0.02213,0.58888,0.19701
16-54-21,2158.814,281.183,1070.076,0.75333,0.17549,0.60989,-0.17242
16-54-26,2234.899,212.837,952.196,0.74213,-0.08847,0.65942,0.08111
16-54-31,2227.389,427.572,970.034,0.7482,0.08279,0.62077,-0.21905
16-54-37,2212.116,147.613,1116.073,0.76711,-0.05533,0.62788,0.11935
16-54-4,2295.873,542.585,913.899,0.73361,0.05996,0.59467,-0.32339
16-54-42,2331.913,311.562,982.278,0.72078,0.06302,0.68199,-0.10673
16-54-47,2394.388,-95.566,904.332,0.69957,0.06563,0.67546,0.22373
16-54-53,2269.215,448.111,1102.77,0.71832,-0.2107,0.66173,0.04163
16-54-59,2272.702,-120.919,1183.155,0.73641,-0.0194,0.6376,0.22537
16-55-10,2399.978,97.408,937.702,0.6766,-0.04638,0.72009,0.14674
16-55-14,2314.393,309.804,1113.377,0.70239,0.11909,0.68106,-0.16916
16-55-19,2431.02,257.848,936.661,0.65925,0.13466,0.72266,-0.15815
16-55-25,2363.681,30.912,1153.777,0.68214,0.22005,0.69257,-0.08121
16-55-30,2390.043,152.662,1088.57,0.6773,-0.13579,0.6901,0.21585
16-55-36,2405.445,-82.976,1095.805,0.66831,0.15567,0.71979,0.10509
16-55-42,2300.225,566.702,1179.981,0.73954,-0.00052,0.63918,-0.21102
16-55-47,2449.261,433.497,968.369,0.61892,-0.25603,0.73919,0.07058
16-55-5,2417.423,568.14,1014.197,0.68326,-0.06692,0.70378,-0.18268
16-55-53,2381.501,429.222,1190.697,0.64812,-0.2258,0.72135,0.09279
16-55-58,2534.586,23.756,941.97,0.6052,0.05336,0.77649,0.16716
16-56-14,2535.223,148.556,974.862,0.60472,0.07437,0.79178,-0.04336
16-56-18,2568.575,-123.545,938.272,0.53554,0.2892,0.79227,-0.04315
16-56-23,2509.719,307.325,1065.653,0.65782,0.01319,0.7455,-0.10645
16-56-30,2510.036,90.979,1147.383,0.65368,0.0929,0.75045,-0.0299
16-56-35,2545.769,511.127,1006.349,0.59465,-0.13466,0.78478,-0.11125
16-56-39,2528.329,-66.069,1195.753,0.62291,0.10058,0.77231,0.07354
16-56-4,2646.622,144.389,931.817,0.56675,0.08771,0.81741,-0.05432
16-56-44,2612.72,76.215,1048.796,0.57109,0.19024,0.78582,-0.14196
16-56-49,2618.075,431.301,966.068,0.59351,-0.08526,0.79045,-0.12514
16-56-55,2673.665,0.375,955.125,0.51998,0.17563,0.83566,-0.02121
16-56-8,2536.959,525.755,1172.856,0.63211,-0.09852,0.76496,-0.07467
16-57-13,2644.96,-61.706,1125.748,0.5946,-0.02811,0.74454,0.30219
16-57-17,2700.763,293.335,1035.431,0.56477,0.0904,0.79063,-0.21856
16-57-2,2659.964,173.274,1171.545,0.5659,0.16565,0.78782,-0.17792
16-57-9,2676.901,412.231,1151.254,0.60292,-0.03086,0.79105,-0.09883
